name,episodes,page_num
Bruce,['https://rickandmortyapi.com/api/episode/38'],33
Council of Glorzos Member,['https://rickandmortyapi.com/api/episode/38'],33
Council of Glorzos Member,['https://rickandmortyapi.com/api/episode/38'],33
Old Glorzo,['https://rickandmortyapi.com/api/episode/38'],33
Shane,['https://rickandmortyapi.com/api/episode/38'],33
Steve,['https://rickandmortyapi.com/api/episode/38'],33
Troy,['https://rickandmortyapi.com/api/episode/38'],33
Crystal Dealers Boss,['https://rickandmortyapi.com/api/episode/39'],33
Crystal Dealer,['https://rickandmortyapi.com/api/episode/39'],33
Crystal Dealer,['https://rickandmortyapi.com/api/episode/39'],33
Crystal Dealer,['https://rickandmortyapi.com/api/episode/39'],33
SWAT Officer,['https://rickandmortyapi.com/api/episode/39'],33
Plane Crash Survivor,['https://rickandmortyapi.com/api/episode/39'],33
Plane Crash Survivor,['https://rickandmortyapi.com/api/episode/39'],33
Heroine Keith,['https://rickandmortyapi.com/api/episode/39'],33
Impervious to Acid SWAT Officer,['https://rickandmortyapi.com/api/episode/39'],33
Johnny Carson,['https://rickandmortyapi.com/api/episode/39'],33
Sonia Sotomayor,['https://rickandmortyapi.com/api/episode/39'],33
Morty’s Father-in-law,['https://rickandmortyapi.com/api/episode/39'],33
Morty’s Mother-in-law,['https://rickandmortyapi.com/api/episode/39'],33
